numero di parole,PAROLE_ESSENZIALI,1sost2Verbi3Agg4Avv,PAROLA,LetteraIniziale,ContieneDoppie,CosaE,DeMauro,COLFISfASS,Nsillabe,Sillaba1,Sillaba2,Sillaba3,Sillaba4,Sillaba5,Sillaba6,NonParola1_similexfinale,NonParola2_similexiniziali,FRASE,ChiCosComDovQuaPer,ChiCosComDovQuaPerCorr,ChiCosComDovQuaPerErr1,ChiCosComDovQuaPerErr2,,FrasiOhO,FraseOhO,corretta,errata,,articoloIndizio,fraseArticoli,par_F_sing,par_F_plur,par_M_sing,par_M_plur,,CECISONOCISARANNO,FraseCECISON,Passato,Presente,Futuro,Indizio_parte_del_testo,Indizio,parte_da_eliminareCORRETTA,Errata1,Errata2,ConsonanteVocale,,PAROLA,1Animali,1Vegetali,2PartidelCorpo,2Abbigliamento,2MangiareeBere,2Mobilia,2MezzoT
1052,,2,tirare,t,2,v,1,98,3,ti,ra,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCV,,tirare,,,,,,,
1053,,2,toccare,t,1,v,1,66,3,toc,ca,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCV,,toccare,,,,,,,
1054,,2,togliere,t,2,v,1,84,3,to,glie,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVVCV,,togliere,,,,,,,
1055,,2,tornare,t,2,v,1,355,3,tor,na,re,,,,prinare,torfele,Giada torna a casa oggi o domani,Cosa fa Giada?,Torna,Parte,Resta,,Giada torna a casa oggi o domani,Giada torna a casa oggi ... domani,O,HO,,,,,,,,,,,,,,,,,,,CVCCVCV,,tornare,,,,,,,
1056,,2,trascorrere,t,1,v,1,62,4,tra,scor,re,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCVCCVCCVCV,,trascorrere,,,,,,,
1057,,2,trasformare,t,2,v,1,107,4,tra,sfor,ma,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCVCCVCCVCV,,trasformare,,,,,,,
1058,,2,trovare,t,2,v,1,636,3,tro,va,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCVCVCV,,trovare,,,,,,,
1059,,2,truccare,t,1,v,2,0,3,truc,ca,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCVCCVCV,,truccare,,,,,,,
1060,,2,truffare,t,1,v,2,2,3,truf,fa,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCVCCVCV,,truffare,,,,,,,
1061,,3,tanto,t,2,agg pron avv cong,1,1910,2,tan,to,,,,,danto,tavro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCV,,tanto,,,,,,,
1062,,3,televisivo,t,2,agg,1,121,5,te,le,vi,si,vo,,lesivitevo,tevosilevi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCVCVCV,,televisivo,,,,,,,
1063,,3,temporaneo,t,2,agg,3,12,5,tem,po,ra,ne,o,,crestiraneo,tempobrifu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCVCVV,,temporaneo,,,,,,,
1064,,3,terrestre,t,1,agg,3,25,3,ter,re,stre,,,,retrestre,testrerre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCCCV,,terrestre,,,,,,,
1065,,3,terribile,t,1,agg,1,209,4,ter,ri,bi,le,,,bitrerile,telebriri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCVCV,,terribile,,,,,,,
1066,,3,tifoso,t,2,agg,3,26,3,ti,fo,so,,,,fotiso,tisofo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCV,,tifoso,,,,,,,
1067,,3,tipico,t,2,agg,1,69,3,ti,pi,co,,,,pitico,ticopi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCV,,tipico,,,,,,,
1068,,3,tondo,t,2,agg,3,29,2,ton,do,,,,,trodo,tonco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCV,,tondo,,,,,,,
1069,,3,torbido,t,2,agg,2,7,3,tor,bi,do,,,,britodo,todrobi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCV,,torbido,,,,,,,
1070,,3,tossico,t,1,agg,3,5,3,tos,si,co,,,,stisoco,tosciso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCV,,tossico,,,,,,,
1071,,3,tranquillo,t,1,agg avv,1,132,3,tran,quil,lo,,,,quintrallo,trallonqui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCVCCVVCCV,,tranquillo,,,,,,,
1072,,3,trasparente,t,2,agg,3,62,4,tra,spa,ren,te,,,sprenatrate,tranterespa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCVCCVCVCCV,,trasparente,,,,,,,
1073,,3,tremendo,t,2,agg,3,35,3,tre,men,do,,,,metrendo,trendome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCVCVCCV,,tremendo,,,,,,,
1074,,3,triste,t,2,agg,1,142,2,tri,ste,,,,,stirte,tresti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCVCCV,,triste,,,,,,,
1075,,3,turistico,t,2,agg,3,27,4,tu,ri,sti,co,,,stirituco,tusticori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCCVCV,,turistico,,,,,,,
1076,,1,telecomando,t,2,s.,4,29,5,te,le,co,man,do,,latecimando,telecumirfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCVCVCCV,,telecomando,,,,,,,
1077,,1,triglia,t,2,s.,4,3,2,tri,glia,,,,,ghiglia,trifilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCVCCVV,,triglia,1,,,,,,
1078,,2,tagliuzzare,t,1,v,4,1,4,ta,gliuz,za,re,,,pastiozzare,tagliarrata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVVCCVCV,,tagliuzzare,,,,,,,
1079,,3,truccato,t,1,v. agg,4,3,3,truc,ca,to,,,,friccato,trullefa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCVCCVCV,,truccato,,,,,,,
1080,,3,traballante,t,1,agg,4,9,4,tra,bal,lan,te,,,batrallante,trabaffelpe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCVCVCCVCCV,,traballante,,,,,,,
1081,,3,teso,t,2,agg s.,4,57,2,te,so,,,,,beso,tevo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCV,,teso,,,,,,,
1082,,3,testardo,t,2,agg,4,7,3,te,star,do,,,,gusgardo,tesfisfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCCV,,testardo,,,,,,,
1083,,3,tarchiato,t,2,agg,4,7,3,tar,chia,to,,,,quarciato,tarquiefa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCCVVCV,,tarchiato,,,,,,,
1084,,3,tozzo,t,1,agg,4,8,2,toz,zo,,,,,vuzzo,tollo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCV,,tozzo,,,,,,,
1085,1,1,uccello,u,1,s.,1,43,3,uc,cel,lo,,,,attello,ucciffa,L'altro giorno c'erano moltissimi uccelli su quel ramo,Cosa c'era l'altro giorno su quel ramo?,Uccelli,Foglie,Scimmie,,Gli uccelli volano in stormi o in banchi?,Gli uccelli volano in stormi ... in banchi?,O,HO,,par_F_plur,Le ... volano in stormi o in banchi?,,anatre,uccello,pavoni,,L'altro giorno c'erano moltissimi uccelli su quel ramo,L'altro giorno ... moltissimi uccelli su quel ramo,1,0,0,SI,PASSATO,c'erano,c'era,ci sono,VCCVCCV,,uccello,1,,,,,,
1086,,1,unghia,u,2,s.,3,5,2,un,ghia,,,,,archia,ungefo,Il leone si difende con le unghie,Il leone ...,Si difente,Attacca,Mangia,,Giulia ha messo lo smalto rosso su ogni unghia,Giulia ... messo lo smalto rosso su ogni unghia,HA,A,,par_M_sing,Giulia ha messo lo ... rosso su ogni unghia,tinta,tovaglie,smalto,,,,,,,,,,,,,VCCCVV,,unghia,,,1,,,,
1087,1,1,uovo,u,2,s.,1,55,2,uo,vo,,,,,aivo,uofa,Giuseppe ha un uovo di Pasqua enorme in cucina,Dov'è l'uovo di Pasqua di Giuseppe?,In cucina,Sulle scale,Nell'aia,,Giuseppe ha un uovo di Pasqua enorme in cucina,Giuseppe ... un uovo di Pasqua enorme in cucina,HA,A,,par_F_plur,Le ... necessarie per la torta sono quattro,uovo,uova,,molluschi,,C'è solo un uovo in frigorifero,... solo un uovo in frigorifero,0,1,0,NO,PRESENTE,c'è,ci sono,c'era,VVCV,,uovo,,,,,1,,
1088,1,1,uscita,u,2,s.,1,285,3,u,sci,ta,,,,zucita,uscofe,Ci sono delle uscite di sicurezza nei teatri,Dove ci sono delle uscite di sicurezza?,Nei teatri,Nelle scuole,Nei musei,,Le uscite di sicurezza hanno il maniglione antipanico,Le uscite di sicurezza ... il maniglione antipanico,HANNO,ANNO,,par_F_plur,Le ... di sicurezza hanno il maniglione antipanico,uscita,uscite,,distretti,,Ci sono delle uscite di sicurezza nei teatri,... delle uscite di sicurezza nei teatri,0,1,0,NO,PRESENTE,ci sono,c'erano ,ci saranno,VCCVCV,,uscita,,,,,,,
1089,,4,ugualmente,u,2,avv,3,82,4,u,gual,men,te,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCVVCCVCCV,,ugualmente,,,,,,,
1090,,4,ultimamente,u,2,avv,3,33,5,ul,ti,ma,men,te,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCCVCVCVCCV,,ultimamente,,,,,,,
1091,,2,uccidere,u,1,v,1,117,4,uc,ci,de,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCCVCVCV,,uccidere,,,,,,,
1092,,2,udire,u,2,v,3,15,3,u,di,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCVCV,,udire,,,,,,,
1093,,2,unire,u,2,v,1,31,3,u,ni,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCVCV,,unire,,,,,,,
1094,,2,urlare,u,2,v,1,28,3,ur,la,re,,,,midare,urlepi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCCVCV,,urlare,,,,,,,
1095,,2,usare,u,2,v,1,208,3,u,sa,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCVCV,,usare,,,,,,,
1096,,2,uscire,u,2,v,1,322,3,u,sci,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCCVCV,,uscire,,,,,,,
1097,,2,utilizzare,u,1,v,1,107,5,u,ti,liz,za,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCVCVCCVCV,,utilizzare,,,,,,,
1098,,3,ufficiale,u,1,agg,1,328,4,uf,fi,cia,le,,,aciuffile,ufifaleci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCCVCVVCV,,ufficiale,,,,,,,
1099,,3,uguale,u,2,agg avv,1,102,3,u,gua,le,,,,gruale,ugulea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCVVCV,,uguale,,,,,,,
1100,,3,ulteriore,u,2,agg,1,111,4,ul,te,rio,re,,,riotelure,uletrerio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCCVCVVCV,,ulteriore,,,,,,,
1101,,3,ultimo,u,2,agg,1,988,3,ul,ti,mo,,,,borimo,ultuvi,Maria ha mangiato l'ultimo pezzo di torta,Cosa ha mangiato Maria?,L'ulimo pezzo di torta,L'ultimo grissino,L'ultima ciambella,,Maria ha mangiato l'ultimo pezzo di torta,Maria ... mangiato l'ultimo pezzo di torta,HA,A,,par_M_plur,Questi sono gli ... posti disponibili,seconda,,primo,ultimi,,Domani ci saranno solo gli ultimi fiori ,Domani ... solo gli ultimi fiori ,0,0,1,SI,FUTURO,ci saranno,ci sono ,c'erano,VCCVCV,,ultimo,,,,,,,
1102,,3,umido,u,2,agg,3,32,3,u,mi,do,,,,imado,umodi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCVCV,,umido,,,,,,,
1103,,3,umile,u,2,agg,3,24,3,u,mi,le,,,,miule,umelu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCVCV,,umile,,,,,,,
1104,,3,unico,u,2,agg,1,629,3,u,ni,co,,,,unuco,unoci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCVCV,,unico,,,,,,,
1105,,3,unito,u,2,agg,1,39,3,u,ni,to,,,,niuto,untio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCVCV,,unito,,,,,,,
1106,,3,universale,u,2,agg,3,64,5,u,ni,ver,sa,le,,eribursale,univertile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCVCVCCVCV,,universale,,,,,,,
1107,,3,urgente,u,2,agg,3,52,3,ur,gen,te,,,,grenute,urtenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCCVCCV,,urgente,,,,,,,
1108,,3,utile,u,2,agg,1,255,3,u,ti,le,,,,tuile,uteli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCVCV,,utile,,,,,,,
1109,,1,ufo,u,2,s.,4,5,2,u,fo,,,,,ato,ula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCV,,ufo,,,,,,,
1110,,1,ukulele,u,2,s.,4,0,4,u,ku,le,le,,,atulele,ukufalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCVCVCV,,ukulele,,,,,,,
1111,,1,uncino,u,2,s.,4,4,3,un,ci,no,,,,orfino,unconi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCCVCV,,uncino,,,,,,,
1112,,1,unicorno,u,2,s.,4,0,4,u,ni,cor,no,,,amucorno,unicisma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCVCVCCV,,unicorno,1,,,,,,
1113,,1,uscio,u,2,s.,4,22,2,u,scio,,,,,arcio,ustie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCCVV,,uscio,,,,,,,
1114,,1,uva,u,2,s.,4,25,2,u,va,,,,,ata,oze,,,,,,,Il nonno coltiva filari di uva bianca o nera?,Il nonno coltiva filari di uva bianca ... nera?,O,HO,,,,,,,,,C'era dell'uva acerba in tavola,... dell'uva acerba in tavola,1,0,0,NO,PASSATO,c'era,ci sarà,ci saranno,VCV,,uva,,1,,,1,,
1115,1,1,valigia,v,2,s.,3,54,3,va,li,gia,,,,zocigia,valucua,Serena lasciò la valigia sul treno,Serena ha lasciato la valigia ...,In treno,In albergo,A casa,,Anna ha una nuova valigia,Anna ... una nuova valigia,HA,A,,par_F_sing,La vecchia ... di Serena è gialla,valigia,scarpe,anello,,,C'è una valigia nell'armadio in camera,... una valigia nell'armadio in camera,0,1,0,NO,PRESENTE,c'è,ci sarà ,ci sono,CVCVCVV,,valigia,,,,,,,
1116,1,1,vampiro,v,2,s,3,10,3,vam,pi,ro,,,,mespiro,vampore,Il vampiro ha denti affilati,Chi ha denti affilati?,Il vampiro,Il canino,Il giaguaro,,Il vampiro ha denti affilati,Il vampiro ... denti affilati,HA,A,,par_M_sing,Il ... ha denti affilati,stella,,vampiro,vampiri,,Nei film di paura spesso ci sono dei vampiri,Nei film di paura spesso ... dei vampiri,0,1,0,NO,PRESENTE,ci sono,ci sarà,c'erano,CVCCVCV,,vampiro,,,,,,,
1117,1,1,vasca,v,2,s.,3,53,2,va,sca,,,,,resca,vasve,Non puoi mettere una balena in vasca!,Cosa non va in vasca?,Balena,Papera,Salvagente,,,,,,,,,,,,,,,,,,,,,,,,CVCCV,,vasca,,,,,,1,
1118,1,1,vasi,v,2,s.,3,52,2,va,si,,,,,tusi,vabi,Nel vaso ci sono tanti fiori colorati,Dove sono tanti fiori colorati?,Vaso,Vasca,Bosco,,Nei vasi a forma di cuore nasceranno le primule,Nei vasi ... forma di cuore nasceranno le primule,A,HA,,par_M_sing,Il ... si è rotto,,uova,vaso,vasi,,Nel vaso ci sono tanti fiori colorati,Nel vaso ... tanti fiori colorati,0,1,0,NO,PRESENTE,ci sono,c'erano,c'era,CVCV,,vasi,,,,,,1,
1119,1,1,vela,v,2,s.,3,52,2,ve,la,,,,,nela,veve,La vela della barca è bianca,Cosa è bianco?,La vela,Il velo,La macchina,,Le barche hanno delle grosse vele triangolari,Le barche ... delle grosse vele triangolari,HANNO,ANNO,,par_F_sing,La ... della barca è bianca,vela,vele,pelo,,,Ci sono delle vele bianche all'orizzonte,... delle vele bianche all'orizzonte,0,1,0,NO,PRESENTE,ci sono,c'è,c'erano,CVCV,,vela,,,,,,,
1120,1,1,ventaglio,v,2,s.,2,15,3,ven,ta,glio,,,,zostaglio,venquando,Il ventaglio della zia ha dei disegni molto belli,Cosa ha dei disegni molto belli?,Il ventaglio,Il miraggio,La mantella,,Il ventaglio della zia ha dei disegni molto belli,Il ventaglio della zia ... dei disegni molto belli,HA,A,,par_M_sing,Il ... della zia ha dei disegni molto belli,mantella,,ventaglio,ventagli,,In quel negozio c'erano sempre ventagli molto originali,In quel negozio ...  sempre ventagli molto originali,1,0,0,NO,PASSATO,c'erano,ci sono,ci sarà,CVCCVCCVV,,ventaglio,,,,1,,,
1121,1,1,ventilatore,v,2,s.,2,5,5,ven,ti,la,to,re,,lempelatore,ventilagobe,Vorrei comprare un ventilatore per la prossima estate,Il ventillatore ...,Lo userò,L'ho usato,Lo uso,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCVCVCV,,ventilatore,,,,,,1,
1122,1,1,verme,v,2,s.,3,17,2,ver,me,,,,,nirme,verfe,I pesci pensano che i vermi siano deliziosi,Come sembrano i vermi?,Deliziosi,Disgustosi,Rosa,,,,,,,,,,,,,,C'è un verme nella mela verde,... un verme nella mela verde,0,1,0,NO,PRESENTE,c'è ,ci saranno ,c'erano,CVCCV,,verme,1,,,,,,
1123,1,1,vestito,v,2,s.,1,133,3,ve,sti,to,,,,rastito,vesfolo,"Per la festa, io indosserò il vestito con le piume",Cosa indosserò per la festa?,Vestito ,Guanti,Bracciale,,L'anno scorso nello spettacolo c'erano bambini con vestiti colorati,L' ... scorso nello spettacolo c'erano bambini con vestiti colorati,ANNO,HANNO,,par_M_sing,"Per la festa, io indosserò il ... argento",gonna,magliette,vestito,,,L'anno scorso nello spettacolo c'erano bambini con vestiti colorati,L'anno scorso nello spettacolo ... bambini con vestiti colorati,1,0,0,SI,PASSATO,c'erano,ci saranno ,ci sono,CVCCVCV,,vestito,,,,1,,,
1124,,1,viaggio,v,1,s,1,423,3,viag,gio,,,,,tefugio,viagote,Io ho sempre tanta sete durante il viaggio in aereo,Cosa hai durante il viaggio?,Sete,Fame,Sonno,,Io ho sempre tanta sete durante il viaggio in aereo,Io ...  sempre tanta sete durante il viaggio in aereo,HO,O,,par_M_sing,Durante il ... in aereo io ho sempre tanta sete,avventura,,viaggio,bicchieri,,,,,,,,,,,,CVVCCVV,,viaggio,,,,,,,
1125,,1,video,v,2,s.,1,193,3,vi,de,o,,,,sedeo,vidai,Il video di quella bella canzone è su internet,Cosa è su internet?,Video,Testo,Voce,,Al compleanno ci sarà un video in cui facciamo gli auguri a Chiara,Al compleanno ci sarà un video in cui facciamo gli auguri ... Chiara,A,HA,,par_M_sing,Il ... di quella bella canzone è su internet,faccia,note,video,,,Al prossimo compleanno ci sarà un video in cui facciamo gli auguri a Chiara,Al prossimo compleanno ... un video in cui facciamo gli auguri a Chiara,0,0,1,SI,FUTURO,ci sarà,ci saranno,c'erano,CVCVV,,video,,,,,,,
1126,1,1,vino,v,2,s.,1,233,2,vi,no,,,,,zino,vizo,Il vino rosso è nella botte di legno,Dove è il vino rosso?,Botte,Bottiglia,Calice,,A tavola c'era del vino nella bottiglia,... tavola c'era del vino nella bottiglia,A,HA,,par_M_sing,Il ... rosso è nella botte di legno,focaccia,,vino,panini,,A tavola c'era del vino nella bottiglia,A tavola ... del vino nella bottiglia,1,0,0,NO,PASSATO,c'era,c'erano,ci sarà,CVCV,,vino,,,,,1,,
1127,1,1,violino,v,2,s,3,28,3,vio,li,no,,,,maolino,violuma,Il mio violino ha solo tre corde,Il mio violino ha solo tre ...,Corde,Sorde,Tasti,,Il mio violino ha solo tre corde,Il mio violino ... solo tre corde,HA,A,,par_M_sing,Il mio ... ha solo tre corde,chitarra,,violino,violini,,Nei negozi di musica ci sono sempre dei violini,Nei negozi di musica ...  sempre dei violini,0,1,0,NO,PRESENTE,ci sono,c'erano,c'è,CVVCVCV,,violino,,,,,,,
1128,1,1,vipera,v,2,s.,2,5,3,vi,pe,ra,,,,tibera,vipari,La vipera vive solamente in Europa,Chi vive solamente in Europa?,Vipera,Coccodrillo,Delfino,,La vipera ha un testa a forma triangolare ,La vipera ... un testa a forma triangolare,HA,A,,par_F_sing,La ... è un serpente velenoso,vipera,salamandre,pitone,,,Ieri nel bosco c'era una vipera delle Alpi,Ieri nel bosco ... una vipera delle Alpi,1,0,0,SI,PASSATO,c'era,c'è ,ci saranno,CVCVCV,,vipera,1,,,,,,
1129,1,1,vite,v,2,s.,2,95,2,vi,te,,,,,cite,gute,La vite è la pianta dell'uva,La vite è ...,Una pianta,Un bullone,Un utensile,,,,,,,par_F_sing,La ... è la pianta dell'uva,vite,viti,,grappoli,,Sulla vite ci sono già i grappoli d'uva,Sulla vite ... già i grappoli d'uva,0,1,0,NO,PRESENTE,ci sono,c'era,ci sarà,CVCV,,vite,,,,,,,
1130,,4,veramente,v,2,avv,1,289,4,ve,ra,men,te,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCVCCV,,veramente,,,,,,,
1131,,4,vostro,v,2,agg pron,1,198,2,vo,stro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCCV,,vostro,,,,,,,
1132,,2,valere,v,2,v,1,42,3,va,le,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCV,,valere,,,,,,,
1133,,2,valutare,v,2,v,1,78,4,va,lu,ta,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCVCV,,valutare,,,,,,,
1134,,2,vedere,v,2,v,1,957,3,ve,de,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCV,,vedere,,,,,,,
1135,,2,vendere,v,2,v,1,112,3,ven,de,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCV,,vendere,,,,,,,
1136,,2,venire,v,2,v,1,277,3,ve,ni,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCV,,venire,,,,,,,
1137,,2,verificare,v,2,v,1,109,5,ve,ri,fi,ca,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCVCVCV,,verificare,,,,,,,
1138,,2,versare,v,2,v,1,46,3,ver,sa,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCV,,versare,,,,,,,
1139,,2,vestire,v,2,v,1,32,3,ve,sti,re,,,,gertire,vescagi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCV,,vestire,,,,,,,
1140,,2,vincere,v,2,v,1,273,3,vin,ce,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCV,,vincere,,,,,,,
1141,,2,visitare,v,2,v,1,76,4,vi,si,ta,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCVCV,,visitare,,,,,,,
1142,,2,vivere,v,2,v,1,592,3,vi,ve,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCV,,vivere,,,,,,,
1143,,2,volare,v,2,v,1,79,3,vo,la,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCV,,volare,,,,,,,
1144,,2,volere,v,2,v,1,51,3,vo,le,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCV,,volere,,,,,,,
1145,,2,votare,v,2,v,1,103,3,vo,ta,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCV,,votare,,,,,,,
1146,,3,vago,v,2,agg,3,43,2,va,go,,,,,tugo,vafo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCV,,vago,,,,,,,
1147,,3,valoroso,v,2,agg,2,3,4,va,lo,ro,so,,,rolovaso,varosolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCVCV,,valoroso,,,,,,,
1148,,3,vanitoso,v,2,agg,2,1,4,va,ni,to,so,,,nivatoso,vasonito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCVCV,,vanitoso,,,,,,,
1149,,3,variopinto,v,2,agg,2,5,4,va,rio,pin,to,,,piorivanto,vatonriopi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVVCVCCV,,variopinto,,,,,,,
1150,,3,vecchio,v,1,agg,1,624,2,vec,chio,,,,,crecchio,vecochi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCCVV,,vecchio,,,,,,,
1151,,3,velenoso,v,2,agg,2,6,4,ve,le,no,so,,,lenoveso,venoleso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCVCV,,velenoso,,,,,,,
1152,,3,vellutato,v,2,agg,2,1,4,vel,lu,ta,to,,,livutato,vellifeso,Matteo ha una voce vellutata,Com'è la voce di Matteo?,Vellutata,Squillante,Musicata,,Matteo ha una voce vellutata,Matteo ... una voce vellutata,HA,A,,,,,,,,,Ci sono delle voci più o meno vellutate alla radio,... delle voci più o meno vellutate alla radio,0,1,0,NO,PRESENTE,ci sono,c'erano,c'è,CVCCVCVCV,,vellutato,,,,,,,
1153,,3,veloce,v,2,agg avv,1,120,3,ve,lo,ce,,,,lovece,vecelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCV,,veloce,,,,,,,
1154,,3,vicino,v,2,agg avv,1,577,3,vi,ci,no,,,,civino,vinoci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCV,,vicino,,,,,,,
1155,,3,violento,v,2,agg,1,89,3,vio,len,to,,,,pattento,violusti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVVCVCCV,,violento,,,,,,,
1156,,3,vitale,v,2,agg,3,76,3,vi,ta,le,,,,matrale,viteni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVCV,,vitale,,,,,,,
1157,,3,vivace,v,2,agg,3,56,3,vi,va,ce,,,,gobice,vivuri,Io ho dei compagni di classe vivaci e simpatici,Come sono i miei compagni di classe?,Vivaci e simpatici,Vivaci e antipatici,Veloci e simpatici,,Io ho dei compagni di classe vivaci e simpatici,Io ... dei compagni di classe vivaci e simpatici,HO,O,,,,,,,,,A scuola ci saranno dei bambini vivaci e simpatici!,A scuola ... dei bambini vivaci e simpatici,0,0,1,NO,FUTURO,ci saranno,c'erano,ci sono,CVCVCV,,vivace,,,,,,,
1158,,3,vivo,v,2,agg,1,230,2,vi,vo,,,,,tivo,viba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCV,,vivo,,,,,,,
1159,,3,viziato,v,2,agg,2,20,3,vi,zia,to,,,,bariato,vizelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVVCV,,viziato,,,,,,,
1160,,3,volgare,v,2,agg,3,26,3,vol,ga,re,,,,pastrare,volgiabo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCCVCV,,volgare,,,,,,,
1161,,3,vuoto,v,2,agg,1,209,2,vuo,to,,,,,bloto,vuoco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVVCV,,vuoto,,,,,,,
1162,,1,visiera,v,2,s.,4,5,3,vi,sie,ra,,,,sofiera,visoefe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CVCVVCV,,visiera,,,,1,,,
